-A VL 2 3 4 5 6 7 8 9 T A 
0A 05 H H H H H H H H H H 
0A 06 H H H H H H H H H H 
0A 07 H H H H H H H H H H 
0A 08 H H H H H H H H H H 
0A 09 H H H H H H H H H H 
0A 10 H H H H H H H H H H 
0A 11 H H H H H H H H H H 
0A 12 H H S S S H H H H H 
0A 13 S S S S S H H H H H 
0A 14 S S S S S H H H H H 
0A 15 S S S S S H H H H H 
0A 16 S S S S S H H H H H 
0A 17 S S S S S S S S S S 
0A 18 S S S S S S S S S S 
0A 19 S S S S S S S S S S 
0A 20 S S S S S S S S S S 
1A 02 H H H H H H H H H H 
1A 03 H H H H H H H H H H 
1A 04 H H H H H H H H H H 
1A 05 H H H H H H H H H H 
1A 06 H H H H H H H H H H 
1A 07 H H H H H H H S S S 
1A 08 S S S S S S S S S S 
1A 09 S S S S S S S S S S 
2A ## S S S S S S S S S S 
